id,strava_activity_id,activity_name,is_parkrun,event_name,distance_km,pace_min_per_km,elevation_gain,day_of_week,hour,month,contains_parkrun,contains_marathon,contains_half,contains_ultra,contains_fun_run,name_length,is_5k,is_10k,is_half_marathon,is_marathon,is_ultra,coord_count,day_of_week,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,hour_6.0,hour_7.0,hour_8.0,hour_9.0,hour_10.0,hour_other
787.0,12745739858.0,Bondi to Manly (official 10.08.49),False,Bondi to Manly Ultra,78.90010000000001,7.347265719561825,1625.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0,0,1,0,5.0,False,False,False,False,False,True,False,False,False,False,False,False,True
2511.0,12640404601.0,Three Bridges Run,False,Three Bridges 10k,10.5653,4.475342236693074,63.0,6.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,28.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
791.0,12576446263.0,Reboot in Bermagui,False,ReBoot in Bermagui,15.658,5.1326265593732705,107.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,True,False,False,False
2512.0,12412345039.0,Sydney 10km,False,Sydney Marathon 10k,10.0096,4.347493073316283,111.0,6.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,25.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4388.0,12411925758.0,Sydney Marathon 2024,False,Sydney Marathon,43.1895,5.6722891752239155,353.0,6.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,36.0,0,0,0,0,1,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
2246.0,12411768747.0,Sydney Marsthon 2024,False,Sydney Marathon,42.9559,5.0493645808841165,347.0,6.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,17.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
795.0,12411819892.0,Sydney marathon,False,Sydney Marathon,42.4934,5.299646533344001,329.0,6.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,21.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
3112.0,12411603592.0,Sydney Marathon,False,Sydney Marathon,42.0742,4.724589732741998,308.0,6.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
2513.0,12353426243.0,Run to the hills,False,Run for the Hills,10.2243,4.575700373945731,160.0,6.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
4171.0,12233673693.0,Sydney Half 🏃🏻‍♀️,False,,21.358,5.4265380653619255,97.2,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
4319.0,12175155084.0,Penrith Duathlon: 2nd run leg - 2.5km,False,,2.5498000000000003,3.993777289722069,4.0,6.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,34.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,False,False,True,False
4320.0,12175155060.0,Penrith Duathlon: 1st Run Leg - 5km,False,,4.7827,4.296736153218893,0.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,False,True,False,False
652.0,12174506745.0,Mudgee 10km - 46:35,False,Mudgee 10k,10.0315,4.647028526807224,30.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
2247.0,12115025173.0,C2S 1min PB and hey look at my magic socks 🦄,False,City2Surf,14.0304,4.540141407230015,204.0,6.0,7.0,8.0,0.0,1.0,1.0,0.0,0.0,37.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
2514.0,12115591298.0,City2surf,False,City2Surf,14.0068,4.714376826493798,198.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4389.0,12115029486.0,City2Surf 2024,False,City2Surf,14.0569,4.803097885498699,199.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
804.0,12115090860.0,City2Surf 2024,False,City2Surf,13.9012,4.548767972069557,191.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3113.0,11939031724.0,Sutherland 2 Surf,False,Sutherland 2 Surf,11.0989,4.095000405445584,77.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
2515.0,11874199318.0,Raffertys 12km + more,False,Raffertys Coastal,12.7785,5.51838374352754,296.0,5.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,False,True,False
812.0,11825721235.0,Sri Chinmoy Dolls Point HM,False,Sri Chinmoy Dolls Point Half marathon,21.184900000000003,4.891062344720374,93.0,6.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,33.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
4172.0,11825914323.0,GC Double Part 2: Marathon 🥳,False,Gold Coast Marathon,42.8026,6.200168525588009,86.6,6.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
653.0,11442709101.0,Sydney 10 - 45:41,False,Sydney 10,9.9262,4.603977352864137,91.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
