id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
4388,12411925758,Sydney Marathon 2024,43189.5,14722,14699,2024-09-15 06:31:38+00:00,353.0,151.3,174.0,14699,43189.5,Sydney Marathon,1,1210.0,oauth,2024,9,6,6,5.6722891752239155,43.1895,244.98333333333332,False,>42km
2246,12411768747,Sydney Marsthon 2024,42955.9,13039,13014,2024-09-15 06:26:07+00:00,347.0,159.0,178.0,13014,42955.9,Sydney Marathon,1,1178.0,oauth,2024,9,6,6,5.0493645808841165,42.9559,216.9,False,>42km
795,12411819892,Sydney marathon,42493.4,13546,13512,2024-09-15 06:21:57+00:00,329.0,160.9,174.0,13512,42493.4,Sydney Marathon,1,1229.0,oauth,2024,9,6,6,5.299646533344001,42.4934,225.2,False,>42km
3112,12411603592,Sydney Marathon,42074.2,11953,11927,2024-09-15 06:08:01+00:00,308.0,168.3,179.0,11927,42074.2,Sydney Marathon,1,1232.0,oauth,2024,9,6,6,4.724589732741998,42.0742,198.78333333333333,False,>42km
2513,12353426243,Run to the hills,10224.3,2807,2807,2024-09-08 08:00:37+00:00,160.0,184.6,196.0,2807,10224.3,Run for the Hills,1,1046.0,oauth,2024,9,6,8,4.575700373945731,10.2243,46.78333333333333,False,10-15km
4171,12233673693,Sydney Half 🏃🏻‍♀️,21358.0,6954,6954,2024-08-25 06:32:04+00:00,97.2,167.5,183.0,6954,21358.0,,1,1133.0,oauth,2024,8,6,6,5.4265380653619255,21.358,115.9,False,21-42km
4319,12175155084,Penrith Duathlon: 2nd run leg - 2.5km,2549.8,611,611,2024-08-18 10:27:03+00:00,4.0,166.5,174.0,611,2549.8,,1,178.0,oauth,2024,8,6,10,3.993777289722069,2.5498000000000003,10.183333333333334,False,<5km
4320,12175155060,Penrith Duathlon: 1st Run Leg - 5km,4782.7,1233,1233,2024-08-18 09:30:03+00:00,0.0,158.6,175.0,1233,4782.7,,1,156.0,oauth,2024,8,6,9,4.296736153218893,4.7827,20.55,False,<5km
652,12174506745,Mudgee 10km - 46:35,10031.5,2797,2797,2024-08-18 08:00:02+00:00,30.0,151.8,168.0,2797,10031.5,Mudgee 10k,1,801.0,oauth,2024,8,6,8,4.647028526807224,10.0315,46.61666666666667,False,10-15km
2247,12115025173,C2S 1min PB and hey look at my magic socks 🦄,14030.4,3822,3822,2024-08-11 07:37:42+00:00,204.0,164.6,177.0,3822,14030.4,City2Surf,1,1059.0,oauth,2024,8,6,7,4.540141407230015,14.0304,63.7,False,10-15km
