id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes
893,8033834552,Cookies,4937.8,1276,1276,2022-10-29 08:05:25+00:00,16.8,164.7,175.0,1276,4937.8,parkrun,1,1,467.0,oauth,True,2022,10,5,8,Saturday,4.306911310030108,4.9378,21.266666666666666
704,8033929586,Wentworth Common parkrun - 24:42,5011.4,1502,1494,2022-10-29 08:03:37+00:00,26.0,145.3,163.0,1494,5011.4,parkrun,1,1,573.0,oauth,True,2022,10,5,8,Saturday,4.968671429141557,5.0114,24.9
705,7998708971,Rhodes parkrun - 23:51,5034.2,1430,1430,2022-10-22 08:01:16+00:00,13.0,160.3,172.0,1430,5034.2,parkrun,1,1,440.0,oauth,True,2022,10,5,8,Saturday,4.734284162991802,5.0342,23.833333333333332
706,7963609722,Greenway parkrun - 27:34,5024.6,1655,1652,2022-10-15 08:01:51+00:00,36.0,145.0,155.0,1652,5024.6,parkrun,1,1,521.0,oauth,True,2022,10,5,8,Saturday,5.479706510634346,5.0246,27.533333333333335
894,7963368834,Orange parkrun,4996.5,1299,1299,2022-10-15 08:01:06+00:00,21.7,164.6,176.0,1299,4996.5,parkrun,1,1,535.0,oauth,True,2022,10,5,8,Saturday,4.33303312318623,4.9965,21.65
708,7927382869,Cooks River parkrun - 31:08,5014.0,1866,1866,2022-10-08 08:00:39+00:00,30.0,132.7,145.0,1866,5014.0,parkrun,1,1,529.0,oauth,True,2022,10,5,8,Saturday,6.202632628639808,5.014,31.1
709,7891417774,Sandgate parkrun - 22:59,4998.3,1378,1378,2022-10-01 07:00:20+00:00,21.0,159.0,169.0,1378,4998.3,parkrun,1,1,383.0,oauth,True,2022,10,5,7,Saturday,4.594895597836597,4.9983,22.966666666666665
711,7819449355,Cooks River parkrun - 28:58,5044.3,1738,1738,2022-09-17 08:01:42+00:00,56.0,139.3,148.0,1738,5044.3,parkrun,1,1,496.0,oauth,True,2022,9,5,8,Saturday,5.742455180434682,5.0443,28.966666666666665
897,7781866410,Ginninderra parkrun - 150!!,4990.8,1302,1302,2022-09-10 08:01:52+00:00,24.8,175.8,216.0,1302,4990.8,parkrun,1,1,470.0,oauth,True,2022,9,5,8,Saturday,4.348000320589885,4.9908,21.7
712,7782003649,Cooks River parkrun - 24:04,5022.7,1444,1434,2022-09-10 08:01:10+00:00,34.0,151.1,169.0,1434,5022.7,parkrun,1,1,503.0,oauth,True,2022,9,5,8,Saturday,4.7583968781730945,5.0226999999999995,23.9
